,visitors,exhibitors,lat,lng,iata,distance
0,12500.0,300.0,40.607904,-74.707776,NYC,46.44091566416956
1,3000.0,300.0,52.5170365,13.3888599,BER,8.325486463447099
2,0,0,51.3693929,-0.3654406,LON,13.092842447617079
3,400.0,20.0,52.009345,-0.734906,LON,29.24976688732062
4,0,0,36.1662859,-115.149225,LAS,9.586564101236519
5,0,0,51.483596,-0.481205,LON,1.9667724976143341
6,0,0,25.7742658,-80.1936589,MIA,9.932252308728602
7,0,0,40.7308619,-73.9871558,NYC,10.938998375331492
8,0,20.0,51.48238,-0.450463,LON,1.5322131854952603
9,0,30.0,25.798993,-80.126862,MIA,16.405511214078665
10,0,0,41.8933203,12.4829321,ROM,13.96728345045333
11,0,30.0,51.500981,-0.119267,LON,12.090788727633855
12,12500.0,300.0,40.788275,-74.042286,NYC,14.340124593026587
13,3000.0,300.0,53.48095,-2.627852,MAN,27.33418096394377
14,0,30.0,47.613461,-122.350958,SEA,18.55643843883743
15,0,60.0,47.6060901,-122.5353510032,SEA,24.37106240749973
16,0,30.0,25.247954,55.345317,DXB,1.993297429844846
17,0,0,1.3408528,103.8784468637,SIN,12.887602867904425
18,3600.0,0,40.7308619,-73.9871558,NYC,10.938998375331492
19,0,30.0,37.981396,23.735086,ATH,19.02920879710659
20,28302.0,0,13.7397107,100.5112057,BKK,21.830324113489038
21,3000.0,300.0,37.699933,-121.918112,SFO,41.213501578109785
22,0,30.0,40.766656,-73.978817,NYC,9.021259170843871
23,12500.0,300.0,19.10868,72.824363,BOM,5.085320144911792
24,0,30.0,53.4054719,-2.9805392,MAN,47.15355846038506
25,0,30.0,40.705517,-74.005446,NYC,13.74043009846459
26,0,0,40.67,-73.94,NYC,13.204139710302696
27,35000.0,70.0,51.520974,-0.072504,LON,9.012723463461013
28,2562.0,0,50.1106444,8.6820917,FRA,11.715980214244063
29,0,60.0,40.755328,-73.981911,NYC,9.52189072917779
30,3000.0,300.0,52.500299,13.520748,BER,13.377046880882554
31,0,30.0,13.745465,100.565369,BKK,19.120438431035787
32,0,30.0,36.011226,-115.17524,LAS,7.938448494402964
33,0,0,40.76243,-73.97836,NYC,9.05669673503011
34,0,30.0,22.277686,114.16608,HKG,26.06405229742334
35,0,30.0,40.728115,-73.957805,NYC,9.016866010495624
36,35000.0,0,34.040542,-118.2555,LAX,17.7907336294621
37,1600.0,300.0,1.255179,103.821811,SIN,21.863830575087906
38,0,30.0,36.116169,-115.174499,LAS,4.49119950429803
39,0,30.0,36.135998,-115.151513,LAS,6.215615928786178
40,0,30.0,51.518759,-0.1446,LON,13.912730750195472
41,12500.0,300.0,33.765264,-118.189339,LAX,28.21520550039038
42,3000.0,300.0,22.535758,114.061981,HKG,29.403490784385102
43,3000.0,300.0,40.429399,-74.476132,NYC,39.11983449314754
44,12500.0,300.0,13.914608,100.548274,BKK,6.34261495902974
45,3000.0,300.0,37.7021521,-121.9357918,SFO,39.752302583753384
46,0,0,47.610502,-122.333266,SEA,18.050251463276084
47,0,30.0,13.742812,100.549696,BKK,19.867590191529477
48,0,0,37.794372,-122.395843,SFO,19.586549767033123
49,0,30.0,1.305891,103.82942,SIN,18.947372002806844
50,4900.0,30.0,1.3408528,103.8784468637,SIN,12.887602867904425
51,0,30.0,51.52554,-0.137872,LON,13.553586128600825
52,0,0,51.498795,-0.191931,LON,17.126422884952326
53,0,30.0,51.522938,-0.130821,LON,13.026372406537318
54,0,30.0,36.12649,-115.165739,LAS,5.303837692382228
55,0,0,41.91067,12.51494,ROM,14.03350897361116
56,1800.0,0,36.116169,-115.174499,LAS,4.49119950429803
57,0,30.0,34.052577,-118.250514,LAX,18.98909885543638
58,12500.0,45.0,36.067206,-115.042443,LAS,9.950268601042904
59,0,0,37.965268,-122.068109,SFO,47.00744517749829
60,7000.0,110.0,51.500222,-0.129027,LON,12.769387690694233
61,0,0,47.6038321,-122.3300624,SEA,17.28889278209679
62,0,30.0,52.5170365,13.3888599,BER,8.325486463447099
63,12500.0,300.0,50.12494,8.67184,FRA,12.489724356572356
64,0,30.0,52.513979,13.335398,BER,6.0211191643472874
65,0,20.0,51.500222,-0.129027,LON,12.769387690694233
66,12500.0,300.0,40.788275,-74.042286,NYC,14.340124593026587
67,0,30.0,40.760697,-73.985233,NYC,9.661326121543704
68,0,30.0,48.8566101,2.3514992,PAR,14.157723779265218
69,90000.0,400.0,33.765264,-118.189339,LAX,28.21520550039038
70,3000.0,300.0,51.764154,-0.580523,LON,19.07372058559033
71,0,0,51.494248,-0.141821,LON,13.698574909144025
72,3000.0,300.0,39.502824,-0.428345,VLC,4.812704833618518
73,0,0,1.305104,103.832837,SIN,18.604237659477068
74,0,30.0,51.536619,-0.12459,LON,12.922930882965044
75,0,0,-33.864497,151.209944,SYD,9.56941047067877
76,0,30.0,52.506927,13.345468,BER,7.050005764307072
77,0,30.0,33.799099,-117.916141,LAX,48.128659602410714
78,0,30.0,1.3408528,103.8784468637,SIN,12.887602867904425
79,0,0,22.283219,114.173103,HKG,26.707046505089416
80,0,0,52.456101,13.298178,BER,11.541492149420995
81,0,0,36.1662859,-115.149225,LAS,9.586564101236519
82,0,30.0,51.519332,-0.119588,LON,12.201222398371
83,0,0,53.476566,-2.246441,MAN,13.792243550686814
84,0,30.0,51.257668,-0.895734,LON,38.30940590949518
85,3000.0,300.0,51.872814,-0.214842,LON,10.539444021409079
86,0,30.0,40.7308619,-73.9871558,NYC,10.938998375331492
87,0,0,40.745579,-74.007698,NYC,11.909454047233448
88,22798.0,0,41.3828939,2.1774322,BCN,12.62067564232171
89,3000.0,100.0,51.7967047,0.5793388821,LON,25.612947381357873
90,0,30.0,49.010502,2.557504,PAR,0.6039286578551687
91,0,30.0,40.739516,-73.973737,NYC,9.493461134548754
92,3000.0,300.0,53.459813,-2.217177,MAN,12.405271291365782
93,0,30.0,47.60806,-122.333935,SEA,17.78534342253317
94,0,30.0,52.518325,13.388244,BER,8.210071663078335
95,0,30.0,22.192295,113.553686,HKG,39.380427856793716
96,0,30.0,-33.873366,151.199391,SYD,8.347212331527212
97,0,0,25.772391,-80.185541,MIA,10.77089997484639
98,0,0,51.512675,-0.137783,LON,13.386283261965039
99,0,30.0,47.611727,-122.332914,SEA,18.183143848985758
100,0,30.0,51.5073219,-0.1276474,LON,12.662423481473173
101,3000.0,30.0,48.880062,2.284433,PAR,15.171693394868717
102,0,30.0,51.5073219,-0.1276474,LON,12.662423481473173
103,0,30.0,40.758573,-73.989548,NYC,10.064420485901215
104,0,0,37.9841493,23.7279843,ATH,19.71051345142216
105,0,30.0,36.116169,-115.174499,LAS,4.49119950429803
106,0,0,37.784718,-122.408717,SFO,18.66428927200081
107,24000.0,160.0,19.095637,72.853942,BOM,1.6569130163247046
108,0,0,40.758142,-73.98506,NYC,9.705247098697718
